vrefdes,vpin,refdes,pin
VCOMP0,0,J2,60
VCOMP0,1,J2,1
VCOMP0,2,J2,30
VCOMP0,3,J2,58
VCOMP0,4,J2,4
VCOMP0,5,J2,31
VCOMP1,0,J3,60
VCOMP1,1,J3,1
VCOMP1,2,J3,30
VCOMP1,3,J3,58
VCOMP1,4,J3,4
VCOMP1,5,J3,31
VCOMP2,0,U4,M01
VCOMP2,1,U4,M02
VCOMP2,2,U4,R02
VCOMP2,3,U4,R04
VCOMP2,4,U4,R03
VCOMP2,5,U4,P03
VCOMP2,6,U4,P04
VCOMP2,7,U4,N03
VCOMP2,8,U4,R05
VCOMP2,9,U4,R06
VCOMP2,10,U4,P05
VCOMP2,11,U4,R08
VCOMP2,12,U4,N05
VCOMP2,13,U4,P06
VCOMP2,14,U4,N04
VCOMP2,15,U4,N06
VCOMP2,16,U4,L01
VCOMP2,17,U4,L02
VCOMP2,18,U4,J01
VCOMP2,19,U4,K02
VCOMP2,20,U4,H01
VCOMP2,21,U4,J02
VCOMP2,22,U4,G02
VCOMP2,23,U4,M03
VCOMP2,24,U4,M04
VCOMP2,25,U4,H02
VCOMP2,26,U4,R10
VCOMP2,27,U4,P09
VCOMP2,28,U4,P10
VCOMP2,29,U4,P08
VCOMP2,30,U4,P13
VCOMP2,31,U4,M12
VCOMP2,32,U4,G01
VCOMP2,33,U4,E01
VCOMP2,34,U4,F02
VCOMP2,35,U4,E02
VCOMP2,36,U4,A02
VCOMP2,37,U4,A04
VCOMP2,38,U4,E14
VCOMP2,39,U4,B13
VCOMP3,0,U4,P01
VCOMP3,1,U4,P02
VCOMP3,2,U4,N02
VCOMP3,3,U4,N01
VCOMP3,4,U4,R02
VCOMP3,5,U4,R04
VCOMP3,6,U4,R03
VCOMP3,7,U4,P03
VCOMP3,8,U4,P04
VCOMP3,9,U4,N03
VCOMP3,10,U4,R05
VCOMP3,11,U4,R06
VCOMP3,12,U4,P05
VCOMP3,13,U4,R08
VCOMP3,14,U4,N05
VCOMP3,15,U4,P06
VCOMP3,16,U4,N04
VCOMP3,17,U4,N06
VCOMP3,18,U4,L01
VCOMP3,19,U4,L02
VCOMP3,20,U4,J01
VCOMP3,21,U4,K02
VCOMP3,22,U4,H01
VCOMP3,23,U4,J02
VCOMP3,24,U4,G02
VCOMP3,25,U4,M03
VCOMP3,26,U4,M04
VCOMP3,27,U4,H02
VCOMP3,28,U4,R10
VCOMP3,29,U4,P09
VCOMP3,30,U4,P10
VCOMP3,31,U4,P08
VCOMP3,32,U4,P13
VCOMP3,33,U4,M12
VCOMP3,34,U4,G01
VCOMP3,35,U4,E01
VCOMP3,36,U4,F02
VCOMP3,37,U4,E02
VCOMP3,38,U4,A02
VCOMP3,39,U4,A04
VCOMP3,40,U4,E14
VCOMP3,41,U4,B13
VCOMP4,0,U20,3
VCOMP4,1,U20,6
VCOMP5,0,R62,2
VCOMP5,1,U16,8
VCOMP6,0,R62,2
VCOMP6,1,U16,8
VCOMP7,0,U17,6
VCOMP7,1,U17,5
VCOMP8,0,U6,1
VCOMP8,1,U6,8
VCOMP8,2,U6,9
VCOMP8,3,U6,17
VCOMP9,0,U7,1
VCOMP9,1,U7,8
VCOMP9,2,U7,9
VCOMP9,3,U7,17
VCOMP10,0,U8,1
VCOMP10,1,U8,8
VCOMP10,2,U8,9
VCOMP10,3,U8,17
VCOMP11,0,R13,2
VCOMP11,1,U15,11
VCOMP11,2,U15,32
VCOMP11,3,U15,62
VCOMP11,4,U15,81
VCOMP11,5,U15,99
VCOMP12,0,R12,2
VCOMP12,1,U6,8
VCOMP12,2,U6,9
VCOMP12,3,U6,17
VCOMP13,0,R14,2
VCOMP13,1,U7,8
VCOMP13,2,U7,9
VCOMP13,3,U7,17
VCOMP14,0,R16,2
VCOMP14,1,U8,8
VCOMP14,2,U8,9
VCOMP14,3,U8,17
VCOMP15,0,R15,2
VCOMP15,1,U15,11
VCOMP15,2,U15,32
VCOMP15,3,U15,62
VCOMP15,4,U15,81
VCOMP15,5,U15,99
VCOMP16,0,R17,2
VCOMP16,1,U15,11
VCOMP16,2,U15,32
VCOMP16,3,U15,62
VCOMP16,4,U15,81
VCOMP16,5,U15,99
VCOMP17,0,Q3,2
VCOMP17,1,Q4,2
VCOMP18,0,Q3,2
VCOMP18,1,Q5,2
VCOMP19,0,Q3,2
VCOMP19,1,Q6,2
VCOMP20,0,R45,2
VCOMP20,1,U15,11
VCOMP20,2,U15,32
VCOMP20,3,U15,62
VCOMP20,4,U15,81
VCOMP20,5,U15,99
VCOMP21,0,U15,10
VCOMP21,1,U15,31
VCOMP21,2,U15,61
VCOMP21,3,U15,80
VCOMP21,4,U15,100
VCOMP21,5,U15,11
VCOMP21,6,U15,32
VCOMP21,7,U15,62
VCOMP21,8,U15,81
VCOMP21,9,U15,99
VCOMP22,0,D3,4
VCOMP22,1,Q10,2
VCOMP23,0,D3,4
VCOMP23,1,Q11,2
VCOMP24,0,D3,4
VCOMP24,1,Q12,2
VCOMP25,0,U9,1
VCOMP25,1,U9,2
VCOMP26,0,U11,4
VCOMP26,1,U11,6
VCOMP26,2,U11,18
VCOMP26,3,U11,3
VCOMP26,4,U11,5
VCOMP26,5,U11,21
VCOMP27,0,R36,2
VCOMP27,1,U11,3
VCOMP27,2,U11,5
VCOMP27,3,U11,21
VCOMP28,0,D2,4
VCOMP28,1,Q7,2
VCOMP29,0,D2,4
VCOMP29,1,Q8,2
VCOMP30,0,D2,4
VCOMP30,1,Q9,2
VCOMP31,0,J1,4
VCOMP31,1,J1,6
VCOMP32,0,R38,2
VCOMP32,1,U12,8
VCOMP32,2,U12,15
VCOMP33,0,R39,2
VCOMP33,1,U12,8
VCOMP33,2,U12,15
VCOMP34,0,R40,2
VCOMP34,1,U12,8
VCOMP34,2,U12,15
VCOMP35,0,R41,2
VCOMP35,1,U12,8
VCOMP35,2,U12,15
VCOMP36,0,U12,16
VCOMP36,1,U12,8
VCOMP36,2,U12,15
VCOMP37,0,U13,2
VCOMP37,1,U13,11
VCOMP38,0,U13,19
VCOMP38,1,U13,11
VCOMP39,0,U14,12
VCOMP39,1,U14,5
VCOMP39,2,U14,13
VCOMP40,0,R52,2
VCOMP40,1,U15,11
VCOMP40,2,U15,32
VCOMP40,3,U15,62
VCOMP40,4,U15,81
VCOMP40,5,U15,99
VCOMP41,0,R53,2
VCOMP41,1,U15,11
VCOMP41,2,U15,32
VCOMP41,3,U15,62
VCOMP41,4,U15,81
VCOMP41,5,U15,99
VCOMP42,0,U16,16
VCOMP42,1,U16,3
VCOMP42,2,U16,13
VCOMP42,3,U16,2
VCOMP42,4,U16,8
VCOMP42,5,U16,1
VCOMP43,0,U17,7
VCOMP43,1,U17,5
VCOMP44,0,R57,2
VCOMP44,1,D4,1
VCOMP45,0,R56,2
VCOMP45,1,U15,11
VCOMP45,2,U15,32
VCOMP45,3,U15,62
VCOMP45,4,U15,81
VCOMP45,5,U15,99
VCOMP46,0,R54,2
VCOMP46,1,U16,8
VCOMP47,0,R55,2
VCOMP47,1,U16,13
VCOMP47,2,U16,2
VCOMP47,3,U16,8
VCOMP47,4,U16,1
VCOMP48,0,R58,2
VCOMP48,1,U16,8
VCOMP49,0,R59,2
VCOMP49,1,U16,8
VCOMP50,0,U18,5
VCOMP50,1,U18,2
VCOMP51,0,R60,2
VCOMP51,1,U16,8
VCOMP52,0,R61,2
VCOMP52,1,U16,8
VCOMP53,0,U19,8
VCOMP53,1,U19,4
VCOMP54,0,U3,5
VCOMP54,1,U3,2
VCOMP55,0,U3,1
VCOMP55,1,U3,2
VCOMP56,0,U21,6
VCOMP56,1,U21,8
VCOMP56,2,U21,3
VCOMP57,0,U21,10
VCOMP57,1,U21,8
VCOMP57,2,U21,3
VCOMP58,0,R65,2
VCOMP58,1,R66,1
VCOMP59,0,U22,6
VCOMP59,1,U22,8
VCOMP59,2,U22,3
VCOMP60,0,U22,10
VCOMP60,1,U22,8
VCOMP60,2,U22,3
VCOMP61,0,R68,2
VCOMP61,1,R70,1
VCOMP62,0,U1,1
VCOMP62,1,U1,6
VCOMP63,0,FB1,1
VCOMP63,1,FB1,2
VCOMP64,0,FB2,1
VCOMP64,1,FB2,2
VCOMP65,0,U2,1
VCOMP65,1,U2,6
VCOMP66,0,U10,1
VCOMP66,1,U10,6
